Product,Category,Quantity,Manufactury Date,Expiry Date,Quantity Sold Last 30 Days,Discount
Apple,Fruits,93,2024-07-10,2024-07-25,18,46
Fish,Seafood,90,2024-07-20,2024-07-24,32,41
Yogurt,Dairy,13,2024-07-10,2024-07-22,10,18
Milk,Dairy,50,2024-07-14,2024-07-24,29,16
Bread,Bakery,57,2024-07-15,2024-07-18,25,47
Orange,Fruits,81,2024-07-22,2024-08-11,42,10
Carrot,Vegetables,90,2024-07-23,2024-08-02,25,29
Beef,Meat,70,2024-07-22,2024-07-29,34,38
Butter,Dairy,66,2024-07-10,2024-08-09,28,30
Potato,Vegetables,73,2024-07-10,2024-07-18,46,19
Milk,Dairy,65,2024-07-22,2024-08-01,29,33
Soda,Beverages,66,2024-07-21,2024-10-19,18,3
Soda,Beverages,74,2024-07-17,2024-10-15,18,3
Spinach,Vegetables,42,2024-07-10,2024-07-18,16,39
Broccoli,Vegetables,93,2024-07-14,2024-07-26,31,34
Bread,Bakery,86,2024-07-12,2024-07-15,25,30
Carrot,Vegetables,70,2024-07-20,2024-07-30,25,34
Butter,Dairy,82,2024-07-16,2024-08-15,28,23
Chicken,Meat,97,2024-07-20,2024-07-25,39,31
Beef,Meat,76,2024-07-11,2024-07-18,34,45
Apple,Fruits,97,2024-07-18,2024-08-02,18,26
Chicken,Meat,63,2024-07-14,2024-07-19,39,10
Cookies,Snacks,33,2024-07-11,2024-11-08,0,2
Chicken,Meat,97,2024-07-18,2024-07-23,39,30
Soda,Beverages,47,2024-07-20,2024-10-18,18,5
Banana,Fruits,28,2024-07-11,2024-07-18,16,11
Butter,Dairy,13,2024-07-21,2024-08-20,28,8
Butter,Dairy,28,2024-07-13,2024-08-12,28,6
Milk,Dairy,65,2024-07-11,2024-07-21,29,39
Spinach,Vegetables,53,2024-07-22,2024-07-30,16,30
Carrot,Vegetables,28,2024-07-16,2024-07-26,25,10
Yogurt,Dairy,18,2024-07-18,2024-07-30,10,18
Broccoli,Vegetables,73,2024-07-20,2024-08-01,31,43
Juice,Beverages,64,2024-07-15,2024-09-13,3,9
Chips,Snacks,28,2024-07-14,2024-12-11,14,0
Soda,Beverages,66,2024-07-19,2024-10-17,18,7
Soda,Beverages,30,2024-07-15,2024-10-13,18,0
Chips,Snacks,98,2024-07-21,2024-12-18,14,3
Cookies,Snacks,51,2024-07-14,2024-11-11,0,5
Soda,Beverages,13,2024-07-21,2024-10-19,18,0
Broccoli,Vegetables,64,2024-07-22,2024-08-03,31,33
Chips,Snacks,35,2024-07-22,2024-12-19,14,2
Shrimp,Seafood,41,2024-07-19,2024-07-25,48,14
Broccoli,Vegetables,91,2024-07-12,2024-07-24,31,40
Potato,Vegetables,23,2024-07-18,2024-07-26,46,19
Tomato,Vegetables,17,2024-07-16,2024-07-29,38,18
Milk,Dairy,51,2024-07-20,2024-07-30,29,15
Butter,Dairy,65,2024-07-20,2024-08-19,28,29
Milk,Dairy,50,2024-07-17,2024-07-27,29,17
Beef,Meat,35,2024-07-10,2024-07-17,34,18
Butter,Dairy,58,2024-07-10,2024-08-09,28,32
Potato,Vegetables,42,2024-07-17,2024-07-25,46,17
Banana,Fruits,39,2024-07-19,2024-07-26,16,40
Juice,Beverages,43,2024-07-23,2024-09-21,3,9
Potato,Vegetables,50,2024-07-17,2024-07-25,46,18
Apple,Fruits,62,2024-07-19,2024-08-03,18,24
Orange,Fruits,60,2024-07-17,2024-08-06,42,11
Fish,Seafood,33,2024-07-18,2024-07-22,32,17
Carrot,Vegetables,77,2024-07-17,2024-07-27,25,43
Potato,Vegetables,69,2024-07-10,2024-07-18,46,16
Broccoli,Vegetables,34,2024-07-22,2024-08-03,31,6
Banana,Fruits,56,2024-07-12,2024-07-19,16,35
Chips,Snacks,94,2024-07-17,2024-12-14,14,4
Fish,Seafood,13,2024-07-16,2024-07-20,32,18
Milk,Dairy,58,2024-07-12,2024-07-22,29,14
Spinach,Vegetables,18,2024-07-16,2024-07-24,16,15
Yogurt,Dairy,94,2024-07-18,2024-07-30,10,47
Milk,Dairy,13,2024-07-16,2024-07-26,29,10
Butter,Dairy,70,2024-07-21,2024-08-20,28,21
Potato,Vegetables,57,2024-07-10,2024-07-18,46,16
Beef,Meat,53,2024-07-12,2024-07-19,34,14
Fish,Seafood,32,2024-07-12,2024-07-16,32,10
Shrimp,Seafood,37,2024-07-15,2024-07-21,48,13
Bread,Bakery,93,2024-07-21,2024-07-24,25,32
Orange,Fruits,23,2024-07-20,2024-08-09,42,13
Tomato,Vegetables,16,2024-07-17,2024-07-30,38,11
Apple,Fruits,13,2024-07-15,2024-07-30,18,11
Beef,Meat,61,2024-07-16,2024-07-23,34,10
Tomato,Vegetables,96,2024-07-20,2024-08-02,38,22
Milk,Dairy,12,2024-07-14,2024-07-24,29,10
Butter,Dairy,99,2024-07-18,2024-08-17,28,20
Chicken,Meat,32,2024-07-20,2024-07-25,39,12
Spinach,Vegetables,84,2024-07-10,2024-07-18,16,49
Soda,Beverages,93,2024-07-16,2024-10-14,18,3
Banana,Fruits,15,2024-07-13,2024-07-20,16,19
Cookies,Snacks,59,2024-07-20,2024-11-17,0,2
Spinach,Vegetables,50,2024-07-22,2024-07-30,16,47
Bread,Bakery,58,2024-07-21,2024-07-24,25,33
Soda,Beverages,30,2024-07-21,2024-10-19,18,0
Orange,Fruits,31,2024-07-18,2024-08-07,42,6
Milk,Dairy,34,2024-07-16,2024-07-26,29,11
Orange,Fruits,55,2024-07-12,2024-08-01,42,19
Broccoli,Vegetables,97,2024-07-22,2024-08-03,31,33
Spinach,Vegetables,48,2024-07-20,2024-07-28,16,46
Shrimp,Seafood,80,2024-07-10,2024-07-16,48,12
Carrot,Vegetables,19,2024-07-12,2024-07-22,25,14
Banana,Fruits,41,2024-07-21,2024-07-28,16,38
Butter,Dairy,54,2024-07-12,2024-08-11,28,5
Shrimp,Seafood,84,2024-07-18,2024-07-24,48,12
Fish,Seafood,89,2024-07-23,2024-07-27,32,34
Soda,Beverages,41,2024-07-11,2024-10-09,18,8
Shrimp,Seafood,91,2024-07-15,2024-07-21,48,18
Tomato,Vegetables,31,2024-07-20,2024-08-02,38,11
Apple,Fruits,71,2024-07-22,2024-08-06,18,23
Shrimp,Seafood,28,2024-07-17,2024-07-23,48,10
Yogurt,Dairy,66,2024-07-10,2024-07-22,10,37
Cookies,Snacks,22,2024-07-11,2024-11-08,0,1
Juice,Beverages,35,2024-07-19,2024-09-17,3,2
Milk,Dairy,51,2024-07-14,2024-07-24,29,18
Orange,Fruits,95,2024-07-16,2024-08-05,42,33
Butter,Dairy,39,2024-07-20,2024-08-19,28,14
Milk,Dairy,22,2024-07-21,2024-07-31,29,19
Juice,Beverages,53,2024-07-23,2024-09-21,3,9
Orange,Fruits,70,2024-07-17,2024-08-06,42,9
Chicken,Meat,69,2024-07-17,2024-07-22,39,16
Chips,Snacks,48,2024-07-13,2024-12-10,14,5
Butter,Dairy,85,2024-07-20,2024-08-19,28,31
Fish,Seafood,78,2024-07-15,2024-07-19,32,30
Beef,Meat,79,2024-07-14,2024-07-21,34,37
Orange,Fruits,81,2024-07-13,2024-08-02,42,8
Spinach,Vegetables,38,2024-07-23,2024-07-31,16,44
Spinach,Vegetables,17,2024-07-20,2024-07-28,16,17
Chicken,Meat,91,2024-07-19,2024-07-24,39,34
Butter,Dairy,50,2024-07-13,2024-08-12,28,5
Butter,Dairy,11,2024-07-10,2024-08-09,28,14
Chips,Snacks,93,2024-07-10,2024-12-07,14,2
Tomato,Vegetables,87,2024-07-16,2024-07-29,38,34
Soda,Beverages,17,2024-07-10,2024-10-08,18,0
Spinach,Vegetables,34,2024-07-13,2024-07-21,16,41
Spinach,Vegetables,72,2024-07-22,2024-07-30,16,46
Bread,Bakery,94,2024-07-13,2024-07-16,25,34
Apple,Fruits,20,2024-07-21,2024-08-05,18,12
Yogurt,Dairy,14,2024-07-16,2024-07-28,10,11
Milk,Dairy,29,2024-07-17,2024-07-27,29,11
Apple,Fruits,62,2024-07-13,2024-07-28,18,34
Orange,Fruits,72,2024-07-23,2024-08-12,42,14
Shrimp,Seafood,68,2024-07-16,2024-07-22,48,12
Apple,Fruits,79,2024-07-17,2024-08-01,18,34
Apple,Fruits,25,2024-07-13,2024-07-28,18,12
Milk,Dairy,51,2024-07-20,2024-07-30,29,12
Banana,Fruits,69,2024-07-17,2024-07-24,16,37
Bread,Bakery,13,2024-07-13,2024-07-16,25,10
Carrot,Vegetables,30,2024-07-15,2024-07-25,25,10
Bread,Bakery,42,2024-07-10,2024-07-13,25,16
Bread,Bakery,96,2024-07-23,2024-07-26,25,34
Banana,Fruits,53,2024-07-21,2024-07-28,16,35
Butter,Dairy,18,2024-07-11,2024-08-10,28,6
Butter,Dairy,44,2024-07-13,2024-08-12,28,12
Fish,Seafood,36,2024-07-18,2024-07-22,32,10
Juice,Beverages,33,2024-07-17,2024-09-15,3,9
Butter,Dairy,92,2024-07-23,2024-08-22,28,26
Orange,Fruits,26,2024-07-11,2024-07-31,42,16
Cookies,Snacks,20,2024-07-21,2024-11-18,0,4
Apple,Fruits,51,2024-07-10,2024-07-25,18,46
Banana,Fruits,10,2024-07-14,2024-07-21,16,13
Milk,Dairy,78,2024-07-14,2024-07-24,29,36
Broccoli,Vegetables,77,2024-07-16,2024-07-28,31,39
Butter,Dairy,65,2024-07-22,2024-08-21,28,24
Butter,Dairy,42,2024-07-22,2024-08-21,28,5
Spinach,Vegetables,70,2024-07-10,2024-07-18,16,40
Bread,Bakery,89,2024-07-15,2024-07-18,25,41
Butter,Dairy,95,2024-07-23,2024-08-22,28,28
Butter,Dairy,41,2024-07-11,2024-08-10,28,5
Butter,Dairy,45,2024-07-22,2024-08-21,28,12
Milk,Dairy,26,2024-07-14,2024-07-24,29,12
Carrot,Vegetables,33,2024-07-22,2024-08-01,25,14
Orange,Fruits,64,2024-07-16,2024-08-05,42,5
Carrot,Vegetables,72,2024-07-19,2024-07-29,25,38
Banana,Fruits,64,2024-07-23,2024-07-30,16,42
Orange,Fruits,57,2024-07-10,2024-07-30,42,14
Beef,Meat,37,2024-07-12,2024-07-19,34,19
Juice,Beverages,63,2024-07-12,2024-09-10,3,4
Chips,Snacks,66,2024-07-13,2024-12-10,14,0
Shrimp,Seafood,68,2024-07-22,2024-07-28,48,14
Yogurt,Dairy,12,2024-07-10,2024-07-22,10,17
Cookies,Snacks,45,2024-07-23,2024-11-20,0,5
Bread,Bakery,74,2024-07-11,2024-07-14,25,48
Juice,Beverages,78,2024-07-14,2024-09-12,3,9
Yogurt,Dairy,47,2024-07-18,2024-07-30,10,40
Banana,Fruits,39,2024-07-15,2024-07-22,16,32
Bread,Bakery,35,2024-07-21,2024-07-24,25,15
Carrot,Vegetables,14,2024-07-17,2024-07-27,25,14
