Product name,Manufacture date,Quantity,Discount
Can of Tuna,2023-11-25,126,0
Rum,2022-09-09,195,19
Nestea,2022-06-02,165,19
Nestea,2023-02-22,239,11
Pepsi,2023-02-01,66,10
Canned Mushrooms,2023-09-03,167,5
Rum,2023-01-30,144,17
Canned Beans,2022-03-31,105,15
Rice,2022-04-26,18,16
Canned Pineapple,2023-06-15,170,10
Canned Tomatoes,2022-09-10,258,18
Rice,2023-07-04,44,14
Canned Corn,2022-01-25,175,18
Rum,2022-08-20,206,20
Nestea,2022-09-09,123,17
Spaghetti,2022-01-30,278,18
Pepsi,2022-12-27,182,18
Coca-Cola,2022-07-16,154,18
Canned Beans,2023-10-01,82,0
Canned Pineapple,2022-04-30,298,19
Fanta,2023-06-07,159,14
Canned Soup,2023-07-30,150,12
Rum,2022-08-26,277,18
Canned Beans,2023-03-04,225,15
Canned Soup,2023-11-01,155,8
Whiskey,2022-04-23,148,15
Vodka,2022-04-07,211,20
Sprite,2022-06-02,249,20
Pasta,2023-09-01,219,10
Canned Olives,2022-11-08,190,19
Sprite,2022-05-20,227,20
Canned Pineapple,2023-04-23,77,12
Vodka,2023-05-14,293,10
Nestea,2023-04-29,246,14
Spaghetti,2023-11-07,252,7
Canned Olives,2022-12-14,158,18
Rum,2023-08-24,186,9
Fanta,2022-02-27,158,20
Canned Olives,2022-02-02,107,17
Canned Beans,2022-07-17,30,15
Nestea,2022-11-10,238,19
Coca-Cola,2022-04-23,69,14
Canned Pineapple,2022-05-21,143,14
Canned Peas,2023-02-21,126,6
Pasta,2023-04-07,20,14
Nestea,2022-01-27,226,18
Canned Corn,2023-06-12,91,12
Canned Soup,2022-08-06,159,19
Canned Soup,2023-11-27,212,10
Pasta,2022-10-03,185,19
Spaghetti,2022-07-31,30,12
Spaghetti,2023-10-08,156,7
Pasta,2023-09-28,27,0
Canned Peas,2023-01-26,289,19
Pasta,2022-07-25,87,17
Pasta,2023-09-08,114,0
Canned Peas,2023-04-05,249,15
Canned Mushrooms,2023-11-28,80,0
Spaghetti,2022-09-11,174,18
Spaghetti,2022-10-21,200,19
Canned Mushrooms,2022-03-30,81,17
Canned Soup,2023-11-03,158,9
Canned Soup,2022-04-15,211,18
Canned Pineapple,2023-01-21,172,18
Sprite,2022-09-17,229,19
Rum,2023-04-09,66,11
Rice,2022-02-22,143,15
Coca-Cola,2022-07-26,12,13
Canned Peas,2022-01-08,125,16
Vodka,2022-02-25,139,17
Nestea,2022-08-19,258,19
Canned Peas,2023-08-12,127,0
Can of Tuna,2022-06-27,218,20
Canned Tomatoes,2023-02-27,134,13
Nestea,2022-03-17,3,13
Canned Corn,2022-04-28,9,12
Canned Pineapple,2023-03-05,75,11
Vodka,2023-08-25,66,0
Rum,2023-11-24,133,0
Canned Mushrooms,2022-06-06,106,14
Rice,2023-12-24,43,0
Canned Tomatoes,2023-03-17,103,8
Canned Beans,2023-11-11,123,0
Can of Tuna,2023-05-28,107,7
Pasta,2023-01-23,72,12
Sprite,2023-01-06,210,19
Canned Pineapple,2022-06-29,25,13
Whiskey,2022-04-04,183,20
Whiskey,2023-03-05,26,13
Canned Olives,2022-11-03,86,14
Canned Pineapple,2023-10-17,131,0
Rice,2022-05-13,228,20
Whiskey,2022-10-15,266,18
Rum,2022-03-10,247,20
Canned Corn,2022-09-01,248,19
Sprite,2023-03-23,135,13
Vodka,2023-11-21,134,0
Pepsi,2023-09-27,242,9
Rice,2022-07-17,216,20
Rum,2022-03-18,209,20
Canned Tomatoes,2022-07-16,112,12
Canned Pineapple,2023-05-06,243,15
Canned Corn,2023-03-29,31,11
Canned Beans,2023-12-05,57,0
Spaghetti,2022-12-01,118,12
Canned Peas,2022-11-06,188,19
Canned Mushrooms,2022-05-01,88,17
Spaghetti,2023-05-01,225,15
Spaghetti,2022-03-27,48,16
Can of Tuna,2023-01-27,201,19
Rum,2022-08-29,80,15
Canned Tomatoes,2023-06-16,288,12
Rum,2022-08-14,100,17
Nestea,2022-08-18,119,12
Spaghetti,2022-04-04,198,19
Canned Beans,2022-06-07,32,12
Canned Peas,2022-08-28,248,19
Fanta,2022-04-19,66,14
Can of Tuna,2023-12-10,139,0
Canned Mushrooms,2023-06-29,3,11
Canned Olives,2022-10-07,252,20
Fanta,2023-02-22,199,13
Pasta,2022-04-20,81,16
Pepsi,2023-10-13,222,8
Rum,2023-07-14,71,11
Rice,2023-12-08,193,5
Can of Tuna,2023-01-08,29,12
Canned Olives,2022-06-29,139,14
Rum,2022-04-08,61,16
Canned Soup,2023-07-09,43,10
Canned Pineapple,2022-10-27,245,19
Sprite,2023-03-16,109,13
Whiskey,2022-07-28,178,20
Canned Corn,2022-07-10,23,17
Pasta,2023-05-29,249,13
Canned Corn,2023-01-14,81,14
Nestea,2022-09-03,150,12
Rum,2023-07-06,44,10
Can of Tuna,2023-03-11,247,13
Coca-Cola,2023-08-30,9,0
Canned Mushrooms,2023-09-25,113,0
Sprite,2022-11-08,234,18
Canned Soup,2022-08-31,128,15
Fanta,2023-11-08,249,5
Rice,2023-12-10,16,0
Sprite,2022-07-20,166,19
Canned Beans,2022-07-29,94,17
Canned Soup,2023-01-30,67,13
Canned Corn,2022-03-29,170,19
Rice,2023-05-05,141,13
Pepsi,2022-04-19,54,16
Coca-Cola,2023-12-13,216,5
Canned Beans,2023-01-11,248,20
Spaghetti,2022-04-10,213,19
Can of Tuna,2022-11-13,258,18
Pepsi,2022-07-18,201,18
Whiskey,2022-01-18,136,14
Canned Pineapple,2022-05-19,264,19
Rice,2023-05-18,161,13
Canned Peas,2023-04-22,49,11
Canned Mushrooms,2022-01-16,281,18
Canned Beans,2022-09-01,180,20
Canned Pineapple,2023-05-14,148,14
Canned Corn,2022-02-28,93,13
Spaghetti,2023-03-31,280,10
Canned Soup,2023-11-28,268,7
Pasta,2022-01-17,206,18
Canned Olives,2023-05-06,32,6
Coca-Cola,2023-05-16,77,13
Canned Soup,2023-03-07,59,6
Pepsi,2022-02-25,218,20
Whiskey,2023-12-16,119,0
Pasta,2022-08-13,72,16
Canned Tomatoes,2023-02-22,44,13
Whiskey,2022-07-31,164,19
Sprite,2023-11-06,276,5
Rice,2022-07-25,118,16
Canned Olives,2023-07-23,169,12
Nestea,2022-12-17,107,13
Pasta,2022-05-20,258,18
Coca-Cola,2022-04-29,123,14
Canned Olives,2022-07-30,217,18
Canned Soup,2023-11-24,168,6
Canned Soup,2023-10-23,52,0
Sprite,2022-11-18,18,13
Coca-Cola,2023-04-27,83,7
Whiskey,2023-12-22,174,8
Canned Olives,2023-05-15,221,11
Whiskey,2022-03-07,231,18
Rum,2023-02-24,54,10
Spaghetti,2023-08-14,153,5
Rum,2023-02-06,71,6
Nestea,2023-08-19,74,0
Vodka,2023-06-26,13,10
Can of Tuna,2023-12-25,151,8
Rice,2023-10-19,8,0
Can of Tuna,2023-04-16,236,12
Vodka,2023-10-10,72,0
Canned Olives,2023-04-14,275,12
Coca-Cola,2022-05-21,247,18
Canned Soup,2022-09-21,246,18
Coca-Cola,2023-09-10,260,7
Rum,2022-03-21,120,17
Canned Pineapple,2022-09-13,235,20
Canned Peas,2022-01-20,130,12
Spaghetti,2023-04-03,114,9
Pasta,2023-08-22,94,0
Sprite,2023-05-15,16,8
Canned Pineapple,2022-06-18,277,18
Whiskey,2022-09-15,196,19
Canned Corn,2023-08-13,39,0
Canned Soup,2022-01-09,260,18
Canned Pineapple,2022-08-25,250,18
Canned Peas,2022-11-06,203,20
Coca-Cola,2022-05-09,88,13
Canned Pineapple,2022-01-21,35,13
Coca-Cola,2022-01-01,173,19
Canned Tomatoes,2022-07-24,83,15
Pepsi,2023-01-01,126,15
Sprite,2022-04-10,67,12
Pepsi,2023-08-27,79,0
Coca-Cola,2022-07-28,208,19
Canned Corn,2022-10-12,220,19
Rice,2023-10-19,180,5
Pepsi,2022-10-08,102,15
Sprite,2023-07-22,130,12
Sprite,2022-09-21,139,14
Rum,2022-06-20,120,13
Pasta,2023-06-30,237,11
Pepsi,2022-08-23,292,19
Sprite,2022-05-09,233,20
Nestea,2022-03-05,265,20
Can of Tuna,2022-06-09,27,12
